id;mac_address;device_name;rssi;estimated_distance_m;tx_power;timestamp;session_id
536;20:64:DE:ED:F1:A6;Comedor;-92;0.00;-2147483648;1,77472E+12;session_1774715333436
537;EC:E8:80:AF:45:A9;FMB130_9225879_LE;-90;Infinity;0;1,77472E+12;session_1774715333436
538;27:A4:43:1F:1F:02;;-46;0.00;-2147483648;1,77472E+12;session_1774715333436
539;5D:BE:05:8B:D8:23;;-97;127880625.57;15;1,77472E+12;session_1774715333436
540;29:37:CF:43:80:5F;;-93;0.00;-2147483648;1,77472E+12;session_1774715333436
541;C8:12:0B:43:4C:93;;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
542;CB:37:30:33:44:78;Govee_H619C_4478;-96;0.00;-2147483648;1,77472E+12;session_1774715333436
543;4F:60:3D:5E:18:6F;;-99;84227144253.33;8;1,77472E+12;session_1774715333436
544;C3:2E:3E:AA:CC:D8;;-94;0.00;-2147483648;1,77472E+12;session_1774715333436
545;55:28:74:C4:C9:31;JBL Go 4;-99;0.00;-2147483648;1,77472E+12;session_1774715333436
546;E8:AA:CB:04:47:55;"43"" The Frame";-98;0.00;-2147483648;1,77472E+12;session_1774715333436
547;ED:3B:7F:8C:9D:6F;;-101;0.00;-2147483648;1,77472E+12;session_1774715333436
548;D4:E0:03:E9:D4:55;;-89;0.00;-2147483648;1,77472E+12;session_1774715333436
549;5E:17:B7:C1:2F:F0;;-98;0.00;-2147483648;1,77472E+12;session_1774715333436
550;27:FA:B1:F0:39:7E;;-101;0.00;-2147483648;1,77472E+12;session_1774715333436
551;47:BB:2C:BF:10:92;;-100;0.00;-2147483648;1,77472E+12;session_1774715333436
552;54:B8:74:72:CE:63;net;-102;0.00;-2147483648;1,77472E+12;session_1774715333436
553;62:99:38:0B:E5:74;;-99;Infinity;0;1,77472E+12;session_1774715333436
554;68:FC:CA:BC:DA:11;[TV] TV Living;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
555;7D:12:36:12:00:ED;;-100;Infinity;0;1,77472E+12;session_1774715333436
556;5E:84:1E:47:98:AF;;-95;966993583.69;12;1,77472E+12;session_1774715333436
557;FC:F1:36:35:2A:63;;-90;0.00;-2147483648;1,77472E+12;session_1774715333436
558;BC:7E:8B:A7:51:6F;;-97;0.00;-2147483648;1,77472E+12;session_1774715333436
